wallet_id,total_transaction_count,total_transaction_sum,big_transaction_count,big_transaction_sum,small_transaction_count,small_transaction_sum,from_transaction_count,from_transaction_sum,to_transaction_count,to_transaction_sum,to_unique_wallet,from_unique_wallet,from_unique_big,to_unique_big,from_unique_small,to_unique_small,classification
279651,2,460000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
279690,1,99995050,1,99995050,1,99995050,0,0,0,0,0,1,0,0,1,0,Positive
279762,2,816430181,2,816430181,2,816430181,0,0,0,0,0,0,0,0,0,0,Positive
279984,5,209098476,5,209098476,5,209098476,0,0,0,0,0,1,0,0,1,0,Negative
280227,2,412355565000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
280233,4,1284131256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
280236,4,334396387,4,334396387,4,334396387,0,0,0,0,0,0,0,0,0,0,Positive
280260,1,500000000,1,500000000,1,500000000,0,0,0,0,1,1,0,0,0,0,Positive
280293,1,500000000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Positive
280296,6,131063740000,6,131063740000,6,131063740000,0,0,0,0,0,0,0,0,0,0,Positive
280299,1,1000000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
280314,4,1031437870000,4,1031437870000,4,1031437870000,0,0,0,0,0,0,0,0,0,0,Positive
280317,1,110060000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
280338,1,120000000,1,120000000,1,120000000,0,0,0,0,0,1,0,0,0,0,Positive
280425,1,48000000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Positive
280491,1,82865041,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Positive
280497,2,660078000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
280509,25,269297737934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
280512,1,126580461,1,126580461,2,176582367,0,0,0,0,1,1,0,0,0,1,Positive
280524,7,1069405044447,7,1069405044447,7,1069405044447,0,0,0,0,0,1,0,0,0,0,Positive
280551,1,11000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Positive
280557,2,9625883849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
280578,5,5059000000,5,5059000000,5,5059000000,0,0,0,0,0,1,0,0,0,0,Negative
280599,3,846017004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
280611,3,515551241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
280623,1,58000000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Positive
280635,2,20101000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
280641,1,3112359146,0,0,0,0,1,3112359146,0,0,0,1,0,0,0,0,Positive
280647,4,2132495271,0,0,0,0,4,2132495271,0,0,0,0,0,0,0,0,Positive
280653,7,33800000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
280689,5,2965990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
280692,1,267470000,1,267470000,1,267470000,0,0,0,0,0,1,0,0,0,0,Positive
280722,3,51120739999,3,51120739999,3,51120739999,0,0,0,0,0,0,0,0,0,0,Negative
280746,4,1571290000,4,1571290000,4,1571290000,0,0,0,0,0,0,0,0,0,0,Positive
280806,1,79948294,1,79948294,1,79948294,0,0,0,0,0,1,0,0,1,0,Positive
280809,2,10000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
280827,2,3515000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
280833,2,784203995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Positive
280875,1,2334713369,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
280890,1,118330000,1,118330000,1,118330000,0,0,0,0,0,1,0,0,0,0,Positive
280893,3,9479215161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
280932,1,300000000,1,300000000,1,300000000,0,0,0,0,0,1,0,0,0,0,Positive
280938,1,5000000000,1,5000000000,1,5000000000,0,0,0,0,0,1,0,0,0,0,Positive
280941,1,2155313156,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
280953,2,30000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
280992,1,10000000,1,10000000,1,10000000,0,0,0,0,0,1,0,0,1,0,Positive
281022,1,88205482,1,88205482,1,88205482,0,0,0,0,0,1,0,0,1,0,Positive
281034,4,314000000,4,314000000,4,314000000,0,0,0,0,1,0,0,0,0,0,Positive
281049,2,5198693271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
281070,3,3181000000,3,3181000000,3,3181000000,0,0,0,0,0,0,0,0,0,0,Negative
281076,1,1000000000,1,1000000000,1,1000000000,0,0,0,0,0,1,0,0,0,0,Positive
281088,3,620000000,3,620000000,3,620000000,0,0,0,0,0,1,0,0,0,0,Negative
281097,2,3500000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
281109,3,5200000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
281202,3,27376000000,3,27376000000,3,27376000000,0,0,0,0,0,0,0,0,0,0,Negative
281238,1,184717574298943788,1,184717574298943788,1,184717574298943788,0,0,0,0,0,1,0,0,0,0,Negative
281289,2,500185114,0,0,9,594980094,0,0,0,0,0,0,0,0,0,0,Positive
281319,7,21024370000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
281322,2,989899209,2,989899209,2,989899209,0,0,0,0,0,0,0,0,0,0,Positive
281331,5,56250,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Negative
281343,1,199999998,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
281418,1,1002974506,1,1002974506,1,1002974506,0,0,0,0,0,1,0,0,0,0,Positive
281421,2,725392404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
281454,2,22300,2,22300,2,22300,0,0,0,0,0,0,0,0,0,0,Positive
281478,3,4076961365,3,4076961365,3,4076961365,0,0,0,0,0,1,0,0,0,0,Negative
281538,1,202279331,1,202279331,1,202279331,0,0,0,0,0,1,0,0,0,0,Positive
281550,1,711000000,1,711000000,1,711000000,0,0,0,0,0,1,0,0,0,0,Positive
281610,1,8000000,1,8000000,2,25049700,0,0,0,0,1,1,0,0,1,1,Positive
281706,1,3200732529,1,3200732529,1,3200732529,0,0,0,0,0,1,0,0,0,0,Positive
281910,1,312731401,1,312731401,1,312731401,0,0,0,0,0,1,0,0,0,0,Positive
281919,1,3894500000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
281928,2,911808022,2,911808022,2,911808022,0,0,0,0,0,0,0,0,0,0,Positive
281985,16,6683622000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Positive
281988,3,3050000000,3,3050000000,3,3050000000,0,0,0,0,0,0,0,0,0,0,Negative
282012,2,1162518265,2,1162518265,2,1162518265,2,1162518265,2,1162518265,0,0,0,0,0,0,Positive
282057,1,333100000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Positive
282123,2,60000500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
282186,1,81390000000000000,1,81390000000000000,1,81390000000000000,0,0,0,0,0,1,0,0,0,0,Negative
282198,3,60368624700,3,60368624700,3,60368624700,0,0,0,0,1,0,0,0,0,0,Negative
282285,2,1504930000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
282291,2,1140000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
282336,6,90539324077,6,90539324077,6,90539324077,0,0,0,0,0,0,0,0,0,0,Positive
282378,1,125000000,1,125000000,1,125000000,0,0,0,0,0,1,0,0,0,0,Positive
282408,3,60301201441,3,60301201441,3,60301201441,0,0,0,0,0,0,0,0,0,0,Negative
282516,6,419848747900,6,419848747900,6,419848747900,0,0,0,0,1,0,0,0,0,0,Positive
282549,1,20000000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
282648,1,331210000,1,331210000,1,331210000,0,0,0,0,0,1,0,0,0,0,Positive
282735,1,6250000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
282739,1,1125085900,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
282867,1,35007210000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
282933,3,29882000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
283002,21,10265932994,21,10265932994,21,10265932994,0,0,0,0,0,0,0,0,0,0,Negative
283032,1,11651509462,1,11651509462,1,11651509462,0,0,0,0,0,1,0,0,0,0,Positive
283158,2,4000000000,2,4000000000,2,4000000000,0,0,0,0,0,0,0,0,0,0,Positive
283215,1,2401000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
283218,1,550000000,1,550000000,1,550000000,0,0,0,0,0,1,0,0,0,0,Positive
283242,1,243464203,1,243464203,3,357755110,1,243464203,3,224283619,0,1,0,0,0,0,Positive
283263,1,26360000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Positive
283269,1,4701884739,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
283287,1,14000355010,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
283293,1,200000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
283332,2,558401727,2,558401727,2,558401727,0,0,0,0,0,0,0,0,0,0,Positive
283335,2,6000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
283338,1,49005500000,1,49005500000,1,49005500000,0,0,0,0,0,1,0,0,0,0,Positive
283341,23,21372010000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
283371,1,414415843,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
283374,7,18120000000,7,18120000000,7,18120000000,0,0,0,0,0,0,0,0,0,0,Positive
283404,2,6240000000,2,6240000000,2,6240000000,0,0,0,0,0,0,0,0,0,0,Positive
283485,1,39873000000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Positive
283509,2,4000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
283527,2,197645834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
283542,2,6709955273,2,6709955273,2,6709955273,2,6709955273,0,0,0,0,0,0,0,0,Positive
283566,4,11400000000,4,11400000000,4,11400000000,0,0,0,0,0,0,0,0,0,0,Positive
283587,2,5808140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
283599,1,320000000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Positive
283617,4,6951544353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
283629,1,227350000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Positive
283659,1,197694377,0,0,0,0,1,197694377,0,0,0,1,0,0,0,0,Positive
283695,1,1000000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
283698,3,402986750,3,402986750,3,402986750,0,0,0,0,0,0,0,0,0,0,Negative
283722,4,77274271576,4,77274271576,4,77274271576,0,0,0,0,0,0,0,0,0,0,Positive
283737,1,248192138,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
283749,1,912630600,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
283770,2,140000000,2,140000000,2,140000000,0,0,0,0,0,0,0,0,0,0,Positive
283773,3,3913000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
283782,3,193388900000,3,193388900000,3,193388900000,0,0,0,0,0,0,0,0,0,0,Negative
283797,1,50000000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Positive
284031,2,6233262879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
284082,1,100000000,1,100000000,1,100000000,0,0,0,0,0,1,0,0,1,0,Positive
284097,5,830000000,0,0,0,0,0,0,0,0,1,1,0,0,1,0,Negative
